ID_Cliente,Edad,Ciudad,Compras_Realizadas,Total_Gastado,Dias_Entre_Compras,Categoria_Favorita,Porcentaje_Compra_Online,Cliente_Frecuente
C0050,60,CDMX,5,1000.0,91.0,Monitores,54,No
C0051,50,Ecatepec,6,18414.7,63.0,Accesorios,71,Si
C0052,32,Toluca,10,21998.98,33.0,Almacenamiento,97,Si
C0053,65,Naucalpan,9,17800.14,33.0,Almacenamiento,91,Si
C0054,42,Naucalpan,9,25424.02,37.0,Monitores,22,Si
C0055,20,Tlalnepantla,3,9472.82,122.0,Monitores,82,No
C0056,32,Naucalpan,5,9904.96,76.0,Audio,29,No
C0057,61,Ecatepec,19,20345.13,13.0,Almacenamiento,60,Si
C0058,51,Tlalnepantla,6,15294.13,64.0,Computo,87,Si
C0059,59,Toluca,4,9362.48,103.0,Computo,39,No
C0060,36,Ecatepec,10,25567.75,27.0,Computo,64,Si
C0061,32,Ecatepec,11,2200.0,41.0,Almacenamiento,44,No
C0062,41,CDMX,9,54515.42,39.0,Audio,59,Si
C0063,68,Naucalpan,9,22197.18,48.0,Monitores,41,Si
C0064,46,Naucalpan,1,470.56,371.0,Almacenamiento,57,No
C0065,64,CDMX,5,7021.72,74.0,Computo,37,No
C0066,33,Ecatepec,2,6459.02,179.0,Almacenamiento,58,No
C0067,52,Ecatepec,13,30535.57,28.0,Computo,69,Si
C0068,57,Toluca,5,17230.13,78.0,Audio,89,Si
C0069,22,CDMX,13,22957.05,30.0,Monitores,26,Si
C0070,48,Tlalnepantla,12,30247.71,21.0,Computo,85,Si
C0071,40,Tlalnepantla,8,31623.92,54.0,Accesorios,75,Si
C0072,20,Ecatepec,6,18439.85,51.0,Monitores,18,Si
C0073,58,CDMX,9,25094.72,36.0,Audio,0,Si
C0074,30,Toluca,11,26593.06,51.0,Monitores,70,Si
C0075,70,Tlalnepantla,5,9775.12,73.0,Computo,39,No
C0076,59,Ecatepec,7,19169.95,41.0,Monitores,94,Si
C0077,39,Toluca,13,25597.79,10.0,Audio,56,Si
C0078,69,Naucalpan,12,33909.14,7.0,Almacenamiento,89,Si
C0079,36,Toluca,7,18493.99,49.0,Monitores,37,Si
C0080,28,Tlalnepantla,7,8134.84,68.0,Almacenamiento,68,No
C0081,45,Ecatepec,6,33103.72,64.0,Audio,52,Si
C0082,50,Toluca,10,4824.35,41.0,Monitores,51,Si
C0083,20,Toluca,10,28273.85,32.0,Computo,36,Si
C0084,56,CDMX,10,32778.47,31.0,Almacenamiento,75,Si
C0085,26,CDMX,4,7909.93,88.0,Computo,40,No
C0086,65,Tlalnepantla,10,35338.2,40.0,Monitores,49,Si
C0087,31,CDMX,11,23952.79,41.0,Accesorios,40,Si
C0088,22,Tlalnepantla,1,2962.09,362.0,Audio,59,No
C0089,63,Naucalpan,13,36337.58,40.0,Audio,24,Si
C0090,50,Ecatepec,10,56359.84,38.0,Computo,37,Si
C0091,41,Toluca,4,7266.6,95.0,Computo,25,No
C0092,22,Ecatepec,2,13235.68,181.0,Almacenamiento,25,No
C0093,22,Toluca,10,29425.15,45.0,Audio,68,Si
C0094,26,Naucalpan,13,9757.1,25.0,Monitores,43,Si
C0095,50,Naucalpan,9,17859.78,44.0,Accesorios,65,Si
C0096,38,Tlalnepantla,11,20438.29,42.0,Computo,45,Si
C0097,34,Toluca,11,55372.28,31.0,Almacenamiento,90,Si
C0098,23,Toluca,6,13129.26,65.0,Almacenamiento,50,Si
C0099,39,CDMX,11,9993.71,34.0,Almacenamiento,50,Si
C0100,34,Ecatepec,4,2138.09,81.0,Almacenamiento,73,No
C0101,36,Ecatepec,6,8448.47,61.0,Audio,100,No
C0102,47,Naucalpan,9,21480.31,49.0,Audio,66,Si
C0103,56,Tlalnepantla,13,52949.41,18.0,Monitores,100,Si
C0104,26,CDMX,8,6077.43,50.0,Audio,67,No
C0105,46,Toluca,8,21931.86,44.0,Monitores,79,Si
C0106,33,Tlalnepantla,16,25579.78,30.0,Accesorios,1,Si
C0107,66,Ecatepec,15,83336.37,8.0,Computo,66,Si
C0108,23,Tlalnepantla,12,20635.14,36.0,Computo,51,Si
C0109,21,Tlalnepantla,7,26513.65,59.0,Almacenamiento,24,Si
C0110,18,Ecatepec,10,11560.05,46.0,Audio,28,Si
C0111,20,CDMX,4,12448.5,95.0,Monitores,85,No
C0112,50,Toluca,3,7995.94,127.0,Computo,24,No
C0113,26,Tlalnepantla,12,24153.14,32.0,Accesorios,33,Si
C0114,30,Tlalnepantla,5,7351.58,75.0,Monitores,57,No
C0115,51,Toluca,3,7912.22,115.0,Audio,53,No
C0116,28,Toluca,4,12940.27,97.0,Almacenamiento,27,No
C0117,52,Tlalnepantla,3,6895.28,120.0,Computo,56,No
C0118,44,CDMX,2,2249.25,181.0,Almacenamiento,17,No
C0119,48,Naucalpan,7,27606.37,62.0,Computo,49,Si
C0120,55,Ecatepec,3,7137.68,119.0,Accesorios,13,No
C0121,70,CDMX,8,15395.07,49.0,Monitores,51,Si
C0122,38,Toluca,4,11219.95,94.0,Monitores,83,No
C0123,65,Ecatepec,7,2392.67,42.0,Almacenamiento,51,No
C0124,42,Tlalnepantla,7,20170.35,58.0,Audio,43,Si
C0125,57,Tlalnepantla,1,2499.11,364.0,Audio,76,No
C0126,63,Tlalnepantla,10,40078.8,33.0,Audio,76,Si
C0127,25,Tlalnepantla,4,6123.52,98.0,Accesorios,40,No
C0128,36,Tlalnepantla,18,53668.99,36.0,Monitores,82,Si
C0129,31,Naucalpan,9,32627.8,52.0,Computo,39,Si
C0130,57,Naucalpan,8,10511.61,62.0,Accesorios,72,Si
C0131,21,Naucalpan,11,31159.48,21.0,Computo,62,Si
C0132,53,Ecatepec,10,21026.56,27.0,Monitores,13,Si
C0133,59,CDMX,11,56522.15,28.0,Almacenamiento,87,Si
C0134,32,Naucalpan,2,3557.38,199.0,Monitores,34,No
C0135,29,Naucalpan,9,18614.72,48.0,Audio,17,Si
C0136,20,Tlalnepantla,13,29776.15,46.0,Monitores,100,Si
C0137,59,Ecatepec,4,7294.62,106.0,Audio,37,No
C0138,30,Naucalpan,9,10775.42,39.0,Computo,19,Si
C0139,65,Toluca,6,18340.92,58.0,Monitores,40,Si
C0140,70,Naucalpan,5,13347.1,70.0,Monitores,62,Si
C0141,38,Tlalnepantla,8,17158.98,39.0,Audio,73,Si
C0142,37,Naucalpan,3,4274.47,121.0,Computo,79,No
C0143,60,Tlalnepantla,11,31843.3,25.0,Computo,72,Si
C0144,58,Naucalpan,11,18648.94,29.0,Monitores,43,Si
C0145,27,Ecatepec,1,3204.3,356.0,Almacenamiento,83,No
C0146,69,CDMX,7,10341.28,52.0,Almacenamiento,97,Si
C0147,46,Toluca,4,7998.94,95.0,Almacenamiento,49,No
C0148,30,CDMX,6,11390.4,56.0,Accesorios,82,Si
C0149,63,Ecatepec,6,11631.12,46.0,Accesorios,52,Si
C0150,50,Tlalnepantla,4,11933.72,80.0,Computo,42,No
C0151,43,Ecatepec,8,18345.8,46.0,Audio,65,Si
C0152,62,Ecatepec,20,74000.01,21.0,Computo,51,Si
C0153,36,Ecatepec,2,6626.05,185.0,Audio,0,No
C0154,42,Toluca,1,3050.95,363.0,Accesorios,62,No
C0155,59,Naucalpan,9,15624.19,49.0,Accesorios,54,Si
C0156,18,Ecatepec,8,1600.0,33.0,Almacenamiento,64,No
C0157,42,CDMX,9,12505.22,37.0,Computo,72,Si
C0158,69,Naucalpan,5,3995.7,88.0,Accesorios,35,No
C0159,22,CDMX,9,21471.93,30.0,Accesorios,33,Si
C0160,65,CDMX,12,30648.01,17.0,Accesorios,45,Si
C0161,50,Toluca,11,23805.32,42.0,Almacenamiento,39,Si
C0162,67,Toluca,6,7603.91,59.0,Accesorios,68,No
C0163,44,Naucalpan,8,20834.84,61.0,Monitores,39,Si
C0164,53,Toluca,1,2288.41,376.0,Audio,42,No
C0165,62,Ecatepec,6,15254.23,51.0,Accesorios,84,Si
C0166,32,Toluca,6,23921.84,67.0,Monitores,3,Si
C0167,44,CDMX,6,11839.15,61.0,Monitores,72,Si
C0168,41,Toluca,13,42349.5,30.0,Almacenamiento,73,Si
C0169,20,Toluca,10,16473.88,37.0,Accesorios,15,Si
C0170,48,Naucalpan,10,47288.43,31.0,Accesorios,100,Si
C0171,65,Toluca,20,107537.15,12.0,Accesorios,57,Si
C0172,43,Toluca,12,17122.27,32.0,Audio,31,Si
C0173,37,Ecatepec,8,29082.55,42.0,Audio,55,Si
C0174,31,Naucalpan,5,15502.56,68.0,Computo,48,Si
C0175,34,Naucalpan,3,5032.52,120.0,Audio,34,No
C0176,32,Tlalnepantla,2,7513.55,171.0,Audio,55,No
C0177,66,Naucalpan,13,2600.0,22.0,Audio,32,Si
C0178,28,CDMX,11,36988.68,40.0,Almacenamiento,100,Si
C0179,20,CDMX,9,16202.77,42.0,Monitores,48,Si
C0180,26,Toluca,10,14724.07,36.0,Monitores,52,Si
